ID,DIR_NAME,STATUS,ELAPSED_MIN,BEST_AFFINITY,START_TIME,END_TIME
LIG_0062,LIG_0062__N-((3-(4-((4-chlorobenzyl)oxy)phenyl)-1-(4-chlorophenyl)-1H-pyrazol-4-yl)methyl),DONE,2.21,-10.6583,2026-03-18 13:53:20,2026-03-18 13:55:32
LIG_0063,LIG_0063__4-(((3-(4-((4-chlorobenzyl)oxy)phenyl)-1-(4-chlorophenyl)-1H-pyrazol-4-yl)methyl,DONE,1.77,-10.8210,2026-03-18 13:55:32,2026-03-18 13:57:18
LIG_0064,LIG_0064__N-((3-(4-((4chlorobenzyl)ox_y)phenyl)-1-phenyl-1H-pyrazol-4yl)methyl)-L-leucin,DONE,1.81,-9.7270,2026-03-18 13:57:18,2026-03-18 13:59:06
LIG_0065,LIG_0065__(2S)-2-(((3-(4-((4-chlorobenzyl)oxy)phenyl)-1-phenyl-1H-pyrazol-4-yl)methyl)amin,DONE,1.81,-10.3978,2026-03-18 13:59:06,2026-03-18 14:00:55
LIG_0066,LIG_0066__N-((3-(4-((4-chlorobenzyl)oxy)phenyl)-1-phenyl-1H-pyrazol-4-yl)methyl)-L-alanin,DONE,1.49,-9.4593,2026-03-18 14:00:55,2026-03-18 14:02:24
LIG_0067,LIG_0067__N-((3-(4-((4-chlorobenzyl)oxy)phenyl)-1-phenyl-1H-pyrazol-4-yl)methyl)-L-phenyla,DONE,1.99,-10.3736,2026-03-18 14:02:24,2026-03-18 14:04:24
LIG_0068,LIG_0068__N-((3-(4-((4-chlorobenzyl)oxy)phenyl)-1-phenyl-1H-pyrazol-4-yl)methyl)-L-tyrosin,DONE,2.14,-10.8518,2026-03-18 14:04:24,2026-03-18 14:06:32
LIG_0069,LIG_0069__N-((3-(4-((4-chlorobenzyl)oxy)phenyl)-1-phenyl-1H-pyrazol-4-yl)methyl)-L-methion,DONE,1.87,-8.4636,2026-03-18 14:06:32,2026-03-18 14:08:25
LIG_0070,LIG_0070__N-((3-(4-((4-chlorobenzyl)oxy)phenyl)-1-phenyl-1H-pyrazol-4-yl)methyl)-L-tryptop,DONE,2.29,-12.3532,2026-03-18 14:08:25,2026-03-18 14:10:42
LIG_0071,LIG_0071__N-((3-(4-((4-chlorobenzyl)oxy)phenyl)-1-phenyl-1H-pyrazol-4-yl)methyl)-L-glutami,DONE,1.91,-9.5452,2026-03-18 14:10:42,2026-03-18 14:12:37
LIG_0072,LIG_0072__(R)-2-(((3-(4-((4-chlorobenzyl)oxy)phenyl)-1-phenyl-1H-pyrazol-4-yl)methyl)amino,DONE,1.82,-9.8342,2026-03-18 14:12:37,2026-03-18 14:14:26
LIG_0073,LIG_0073__(R)-2-(((3-(4-((3-chlorobenzyl)oxy)phenyl)-1-phenyl-1H-pyrazol-4-yl)methyl)amino,DONE,1.76,-11.4135,2026-03-18 14:14:26,2026-03-18 14:16:12
LIG_0074,LIG_0074__N-((3(4((3-chlorobenzyl)oxy)phenyl)-1-phenyl-1H-pyrazol-4-yl)methyl)-L-glycin,DONE,1.39,-9.2095,2026-03-18 14:16:12,2026-03-18 14:17:35
LIG_0075,LIG_0075__N-((3-(4-((3-chlorobenzyl)oxy)phenyl)-1-phenyl-1H-pyrazol-4-yl)methyl)-L-tryptop,DONE,2.23,-11.1911,2026-03-18 14:17:35,2026-03-18 14:19:49
LIG_0076,LIG_0076__N-((3-(4-((3-chlorobenzyl)oxy)phenyl)-1-phenyl-1H-pyrazol-4-yl)methyl)-L-alanin,DONE,1.46,-9.3442,2026-03-18 14:19:49,2026-03-18 14:21:17
LIG_0077,LIG_0077__N-((3-(4-(benzyloxy)phenyl)-1(4-nitrophenyl)-1H-pyrazol-4-yl)methyl)-L-alanin,DONE,1.57,-11.2038,2026-03-18 14:21:17,2026-03-18 14:22:51
